# Output from hector version 1.1
year,run_name,spinup,component,variable,value,units
2,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,carbon_DO,25998.4,Pg C
2,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,carbon_HL,138.535,Pg C
2,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,carbon_IO,8401.05,Pg C
2,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,carbon_LL,772.067,Pg C
2,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,DIC_HL,2079.94,umol/kg
2,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,DIC_LL,2045.6,umol/kg
2,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,HL_DO_Cflux,98.9974,Pg C/yr
2,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,atm_ocean_flux,0,Pg C/yr
2,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,OmegaAr_HL,0,(undefined)
2,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,OmegaAr_LL,0,(undefined)
2,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,OmegaCa_HL,0,(undefined)
2,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,OmegaCa_LL,0,(undefined)
2,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,PCO2_HL,0,(undefined)
2,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,PCO2_LL,0,(undefined)
2,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,pH_HL,0,(undefined)
2,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,pH_LL,0,(undefined)
2,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,Temp_HL,2,degC
2,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,Temp_LL,22,degC
2,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,ocean_c,35310,Pg C
2,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,CO3_HL,0,(undefined)
2,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,CO3_LL,0,(undefined)
2,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,ocean_timesteps,1,(unitless)
2,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,simpleNbox,atm_land_flux,-0.0181137,Pg C/yr
