111,,,DO NOT CHANGE(other than pasting in a new reference scenario.),,,,,,,,,,,,,,,,,,
BCOC-Red,,,,,,,,,,,,,,,,,,,,,
,,,This is used as the base emissions for Ref cases,,,,,,,,,,,,,,,,,,
,Fos CO2,CO2NetLandUse,CH4,N2O,SOXreg1,SOXreg2,SOXreg3,CF4,C2F6,HFC125,HFC134a,HFC143a,HFC227ea,HFC245ca,SF6,NOx,NMVOCs,CO,BC,OC,
Year,(Pg C),(Pg C),(Tg),(Tg N),(Tg S),(Tg S),(Tg S),(kton),(kton),(kton),(kton),(kton),(kton),(kton),(kton),(Mt N),(Mt),(Mt),(Gg),(Gg),blank line
2047,8.6074,0.9106,322.5448,7.8682,12.9138,36.4093,13.4174,10.6086,2.3096,17.127,142.7312,14.1631,6.2121,48.596,5.6554,37.7516,208.3788,1038.619,16234.4,34402.4,
2048,8.6074,0.9106,322.5448,7.8682,12.9138,36.4093,13.4174,10.6086,2.3096,17.127,142.7312,14.1631,6.2121,48.596,5.6554,37.7516,208.3788,1038.619,16234.4,34402.4,
2049,8.6074,0.9106,322.5448,7.8682,12.9138,36.4093,13.4174,10.6086,2.3096,17.127,142.7312,14.1631,6.2121,48.596,5.6554,37.7516,208.3788,1038.619,16234.4,34402.4,
2050,8.6074,0.9106,322.5448,7.8682,12.9138,36.4093,13.4174,10.6086,2.3096,17.127,142.7312,14.1631,6.2121,48.596,5.6554,37.7516,208.3788,1038.619,16234.4,34402.4,
2051,8.6074,0.9106,322.5448,7.8682,12.9138,36.4093,13.4174,10.6086,2.3096,17.127,142.7312,14.1631,6.2121,48.596,5.6554,37.7516,208.3788,1038.619,16234.4,34402.4,
2052,8.6074,0.9106,322.5448,7.8682,12.9138,36.4093,13.4174,10.6086,2.3096,17.127,142.7312,14.1631,6.2121,48.596,5.6554,37.7516,208.3788,1038.619,16234.4,34402.4,
2053,8.6074,0.9106,322.5448,7.8682,12.9138,36.4093,13.4174,10.6086,2.3096,17.127,142.7312,14.1631,6.2121,48.596,5.6554,37.7516,208.3788,1038.619,16234.4,34402.4,
2054,8.6074,0.9106,322.5448,7.8682,12.9138,36.4093,13.4174,10.6086,2.3096,17.127,142.7312,14.1631,6.2121,48.596,5.6554,37.7516,208.3788,1038.619,16234.4,34402.4,
2055,8.6074,0.9106,322.5448,7.8682,12.9138,36.4093,13.4174,10.6086,2.3096,17.127,142.7312,14.1631,6.2121,48.596,5.6554,37.7516,208.3788,1038.619,16234.4,34402.4,
2056,8.6074,0.9106,322.5448,7.8682,12.9138,36.4093,13.4174,10.6086,2.3096,17.127,142.7312,14.1631,6.2121,48.596,5.6554,37.7516,208.3788,1038.619,16234.4,34402.4,
2057,8.6074,0.9106,322.5448,7.8682,12.9138,36.4093,13.4174,10.6086,2.3096,17.127,142.7312,14.1631,6.2121,48.596,5.6554,37.7516,208.3788,1038.619,16234.4,34402.4,
2058,8.6074,0.9106,322.5448,7.8682,12.9138,36.4093,13.4174,10.6086,2.3096,17.127,142.7312,14.1631,6.2121,48.596,5.6554,37.7516,208.3788,1038.619,16234.4,34402.4,
