# Output from hector version 1.1
run_name,Year,Ca,Ftot
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1921,296.555,0.274712
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1922,296.789,0.358299
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1923,296.997,0.377375
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1924,297.244,0.36289
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1925,297.516,0.361945
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1926,297.783,0.368806
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1927,298.047,0.365713
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1928,298.334,0.315746
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1929,298.638,0.265782
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1930,298.952,0.291442
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1931,299.267,0.317017
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1932,299.542,0.285692
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1933,299.745,0.293629
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1934,299.913,0.330437
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1935,300.104,0.336514
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1936,300.323,0.347214
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1937,300.575,0.345864
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1938,300.859,0.330388
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1939,301.133,0.331561
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1940,301.394,0.351774
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1941,301.68,0.364859
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1942,301.985,0.347598
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1943,302.294,0.347032
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1944,302.61,0.37491
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1945,302.926,0.390775
